f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, class
0.6957171,0.214642,0,81.33744,52.32063,0,-0.1724296,0.0261551,-0.9846745,0.02964509,0.1908619,-0.9811692,-0.002807154,0.2031294,-0.9791479,-0.05319932,0.1466084,-0.987763,-0.01983167,0.1444564,-0.9893125,0,1,1,1,1,28.17081,61.8919,69.04153,64.77042,52.78194,16.45218,8.293244,10.78643,40.38836,A
0.9703034,0.07955556,0,82.87419,54.05706,0,-0.322333,0.244867,-0.9144078,-0.06431722,0.2427582,-0.9679524,-0.1361862,0.2432624,-0.9603525,-0.1928148,0.2153554,-0.9573112,-0.187308,0.1366691,-0.9727473,1,1,1,1,1,27.13743,61.64307,69.76615,65.77551,53.88395,15.89299,8.14543,10.84739,45.32497,A
1,0.2651423,0,81.79387,55.82386,0,-0.3123487,-0.008135843,-0.9499327,-0.07373106,0.1294368,-0.9888427,-0.1199902,0.1318806,-0.9839765,-0.1716833,0.1529079,-0.9732133,-0.1573967,-0.01442388,-0.9874301,1,1,1,1,1,28.0131,60.95093,68.25967,63.87271,52.89097,15.49764,8.29018,10.61592,42.20005,A
0.3634928,0,0,81.76649,52.94024,0,-0.3474565,-0.2704361,-0.8978521,-0.1576937,-0.1705036,-0.9726568,-0.189685,-0.2258351,-0.9555198,-0.2781436,-0.2091964,-0.9374823,-0.2388718,-0.1671679,-0.9565538,1,1,1,1,1,26.54305,61.00518,68.93722,64.48522,52.52992,16.38653,7.305589,11.71898,45.01323,A
0.8310764,0,0,81.76455,53.13866,0,-0.3515849,-0.2813627,-0.8928735,-0.1590129,-0.1682712,-0.9728307,-0.1970722,-0.2450437,-0.9492714,-0.2858366,-0.2214062,-0.9323502,-0.2412952,-0.1844285,-0.9527658,1,1,1,1,1,26.92466,61.15308,68.7869,64.17307,52.30097,16.48467,7.345309,11.41258,45.40666,A
0.9639546,0,0,81.76447,53.63254,0,-0.3653083,-0.2902411,-0.8844829,-0.1614159,-0.1739017,-0.9714438,-0.1981078,-0.2395183,-0.9504653,-0.2830172,-0.2185155,-0.9338909,-0.2437251,-0.1815127,-0.9527073,1,1,1,1,1,26.84103,60.99198,68.73565,64.23675,52.37071,16.35735,7.378554,11.42976,45.73152,A
1,0,0,81.76447,53.51125,0,-0.3658373,-0.2829895,-0.8866115,-0.1589831,-0.1722506,-0.972139,-0.1956677,-0.2434301,-0.9499768,-0.2812901,-0.2258795,-0.9326598,-0.2466867,-0.1858851,-0.9511006,1,1,1,1,1,26.8972,60.98749,68.72486,64.23035,52.32985,16.28504,7.366998,11.45085,45.64066,A
1,0,0,81.76447,53.61463,0,-0.3720575,-0.2678225,-0.8887318,-0.1569037,-0.1705309,-0.9727797,-0.1941377,-0.243868,-0.9501783,-0.2805128,-0.2294474,-0.9320228,-0.252391,-0.1894067,-0.9489067,1,1,1,1,1,27.01507,60.9983,68.73334,64.23284,52.27255,16.20971,7.353352,11.46817,45.66648,A
1,0,0,81.76447,53.75623,0,-0.3722757,-0.2614185,-0.8905455,-0.1538375,-0.1694691,-0.9734548,-0.1924245,-0.2422203,-0.950948,-0.2786624,-0.2267053,-0.9332481,-0.2512822,-0.1878162,-0.9495168,1,1,1,1,1,27.10468,61.08049,68.77285,64.23698,52.22034,16.2382,7.372868,11.41917,45.71405,A
1,0,0,81.76447,53.65586,0,-0.3692658,-0.2641558,-0.8909907,-0.1556259,-0.1697315,-0.9731248,-0.1935276,-0.2428531,-0.9505627,-0.2796506,-0.2276636,-0.9327191,-0.2525242,-0.1896266,-0.9488273,1,1,1,1,1,27.03664,61.04549,68.75549,64.23785,52.24083,16.228,7.369288,11.43783,45.66369,A
1,0,0,81.76447,53.4986,0,-0.3678954,-0.2652819,-0.8912231,-0.1596332,-0.1646543,-0.973348,-0.1973623,-0.238206,-0.9509501,-0.2825469,-0.2229323,-0.932989,-0.2541528,-0.1846353,-0.9493767,1,1,1,1,1,26.93398,61.01466,68.76649,64.28117,52.3205,16.22296,7.381359,11.47803,45.62939,A
1,0,0,81.76447,53.34981,0,-0.3746227,-0.2557797,-0.8911984,-0.1688904,-0.1542849,-0.9734846,-0.2023518,-0.2288222,-0.9522049,-0.2854544,-0.2134405,-0.9343227,-0.2513478,-0.1743935,-0.9520563,1,1,1,1,1,26.93836,60.97005,68.80283,64.37869,52.51022,16.26127,7.412355,11.65672,45.57569,A
1,0,0,81.76447,53.23495,0,-0.3757864,-0.2464492,-0.893335,-0.1714768,-0.1424372,-0.9748371,-0.2006576,-0.2183787,-0.9550117,-0.283385,-0.2054896,-0.9367321,-0.2481021,-0.1683254,-0.9539979,1,1,1,1,1,27.64195,60.99677,68.88556,64.47531,52.60019,16.29598,7.425607,11.81571,46.02853,A
1,0,0,81.76447,53.07324,0,-0.3629034,-0.2513865,-0.897277,-0.1634817,-0.1459931,-0.9756842,-0.1984113,-0.2208022,-0.9549237,-0.2839098,-0.2070132,-0.9362376,-0.2549811,-0.1684265,-0.9521644,1,1,1,1,1,26.83642,61.03064,68.86922,64.41054,52.47276,16.21347,7.362238,11.61024,45.43929,A
1,0,0,81.76447,52.74744,0,-0.3384896,-0.2535174,-0.9061754,-0.1444382,-0.1451701,-0.978807,-0.182087,-0.2175909,-0.9589049,-0.2691636,-0.2024105,-0.9415842,-0.2460266,-0.1689106,-0.9544318,1,1,1,1,1,26.87977,61.2883,69.0333,64.45475,52.29288,16.28495,7.37385,11.46191,45.21034,A
1,0,0,81.76447,52.80484,0,-0.3404879,-0.252946,-0.9055862,-0.1391922,-0.145462,-0.9795235,-0.1752961,-0.2086728,-0.9621471,-0.2604841,-0.1907755,-0.9464422,-0.2408372,-0.1605052,-0.9572019,1,1,1,1,1,27.01531,61.29674,69.12494,64.59864,52.39267,16.28539,7.388625,11.4833,45.33957,A
1,0,0,81.76447,52.17324,0,-0.3450475,-0.2533841,-0.903736,-0.1629223,-0.1418118,-0.9763942,-0.1979767,-0.2111436,-0.9571958,-0.2801166,-0.1931712,-0.9403295,-0.2531712,-0.1631159,-0.953571,1,1,1,1,1,26.83982,61.19024,68.96865,64.43357,52.38925,16.29202,7.468553,11.53798,44.99591,A
