f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, class
0.9884613,1.800701,0,82.89681,65.36185,0.7847075,0.4033608,-0.5830797,-0.7052078,0.1751574,-0.282783,-0.9430555,-0.0891477,-0.1544375,-0.9839724,-0.3628368,-0.3319444,0.8707253,-0.5012752,-0.3390489,0.7960961,0,1,1,0,0,27.78044,66.56621,73.27252,17.18797,16.33313,6.738219,81.07993,8.539577,54.82964,R
1,1.813229,0,82.89681,64.45641,0.7206647,0.3832593,-0.5932798,-0.7079063,0.1500137,-0.3200656,-0.9354432,-0.09160131,-0.182306,-0.9789656,-0.36492,-0.3051453,0.8796134,-0.4875064,-0.317547,0.8133273,0,1,1,0,0,28.1316,66.78037,73.09319,17.39825,16.68594,6.849335,81.61829,8.618283,54.02756,R
1,1.83481,0,82.89681,63.66955,0.7021272,0.3783899,-0.5918869,-0.7116818,0.1278628,-0.3266805,-0.9364459,-0.1162149,-0.2102088,-0.9707247,-0.3875357,-0.2720479,0.8807985,-0.4870864,-0.2978837,0.8209825,0,1,1,0,0,28.28829,66.84106,72.82822,17.06322,16.58319,7.049253,81.21684,8.093243,53.56129,R
1,1.886628,0,82.89681,61.45498,0.6590147,0.3780821,-0.584579,-0.7178589,0.1528805,-0.3868374,-0.9093868,-0.1502135,-0.3046789,-0.9405353,-0.3505583,-0.2821835,0.8930181,-0.4848596,-0.2993114,0.8217809,0,1,1,0,0,28.52096,65.97504,71.80584,17.13715,16.55045,6.716058,79.94292,7.741957,51.41789,R
1,1.878805,0,82.89681,60.77188,0.6120735,0.3761571,-0.6124274,-0.6952974,0.1940234,-0.4371156,-0.8782283,-0.1297841,-0.3303354,-0.9348982,-0.3498056,-0.2334891,0.907259,-0.5038663,-0.238365,0.8302415,0,1,1,0,0,28.36497,65.00579,71.65365,17.72204,16.7975,6.560876,81.05083,9.000876,50.92996,R
1,1.875571,0,82.89681,61.42299,0.6125122,0.4171758,-0.6150072,-0.6691267,0.2215674,-0.4478723,-0.8662091,-0.09609491,-0.3338811,-0.9377042,-0.371548,-0.2084457,0.9047112,-0.5240291,-0.224879,0.8214761,0,1,1,0,0,28.16526,64.83827,71.7807,17.80413,16.91183,6.498928,81.76254,9.420164,51.53117,R
1,1.864547,0,82.89681,62.07979,0.5979135,0.3778216,-0.6279858,-0.6803563,0.2006906,-0.4375669,-0.8765035,-0.07681857,-0.313944,-0.9463287,-0.3752116,-0.2020363,0.9046534,-0.515866,-0.2181292,0.8284334,0,1,1,0,0,28.19015,65.17679,72.13833,17.83328,16.89445,6.691456,82.34395,9.3379,52.12322,R
1,1.878479,0,82.89681,61.77842,0.5210872,0.3236172,-0.6143307,-0.7196316,0.1748425,-0.4195689,-0.8907256,-0.08043562,-0.3132104,-0.9462713,-0.3630518,-0.1941163,0.9113244,-0.4807277,-0.2192821,0.8490089,0,1,1,0,0,29.12153,65.50048,72.10406,17.68941,16.95692,6.833736,82.44058,8.742126,51.03358,R
1,1.886859,0,82.89681,61.66466,0.4880785,0.3279027,-0.6004295,-0.7293589,0.1850967,-0.4085877,-0.8937535,-0.08280077,-0.3001131,-0.9503032,-0.3469174,-0.1993715,0.9164602,-0.454933,-0.2338303,0.8592784,0,1,1,0,0,29.49935,65.56462,72.1527,17.57403,17.03787,6.855011,82.591,8.912493,50.61322,R
1,1.874377,0,82.89681,63.34585,0.5989455,0.4060953,-0.5735558,-0.7114214,0.16355,-0.3366573,-0.9273151,-0.12574,-0.2158413,-0.9682985,-0.3160497,-0.253725,0.9141861,-0.448117,-0.2748411,0.8506783,0,1,1,0,0,28.35818,66.59438,72.58925,17.23883,16.61079,6.741234,82.42738,8.727558,53.26132,R
1,1.800619,0,82.89681,65.37828,0.7682599,0.4124341,-0.5633275,-0.7159332,0.1305621,-0.2833796,-0.9500787,-0.1464238,-0.1786339,-0.9729593,-0.294785,-0.3497364,0.8892616,-0.4312923,-0.3635952,0.825703,0,1,1,0,0,27.70903,66.88115,72.88834,17.28486,16.30855,6.893696,80.8203,8.171077,55.27737,R
1,1.735084,0,82.89681,66.89668,0.8232107,0.4060073,-0.5201307,-0.7514134,0.1401288,-0.1968811,-0.9703616,-0.1369289,-0.1504363,-0.9790911,-0.2741794,-0.4595593,0.8447668,-0.4375829,-0.4633918,0.7705772,0,1,1,0,0,28.54175,66.75249,73.09122,18.16628,16.44378,6.721456,80.18732,7.274753,54.59067,R
