f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, class
1,1.742891,0,82.89681,63.50043,0.7886296,0.362141,-0.5609393,-0.7444468,0.09541359,-0.3388643,-0.9359847,0.02819766,-0.3196946,-0.9471009,-0.2408027,-0.4317328,0.8692645,-0.3665829,-0.4372117,0.821257,0,1,1,0,0,28.59561,66.50132,72.33835,17.92551,16.49854,7.28545,77.62197,9.732383,53.27734,U
1,1.735858,0,82.89681,62.65395,0.7847614,0.3983651,-0.5542353,-0.730841,0.07813048,-0.3686648,-0.9262732,0.01134451,-0.3201258,-0.9473071,-0.2442845,-0.4009653,0.8829224,-0.3883371,-0.4147553,0.8229048,0,1,1,0,0,28.08625,66.26884,72.51736,18.09771,16.51345,7.057017,79.0844,10.31325,53.50364,U
1,1.738914,0,82.89681,62.54176,0.7606596,0.3988741,-0.5509513,-0.7330431,0.08080784,-0.3624342,-0.9284996,0.003635217,-0.310227,-0.9506555,-0.2373698,-0.3838961,0.8923448,-0.3804262,-0.394601,0.8364006,0,1,1,0,0,28.15054,66.23435,72.59316,17.92012,16.35343,7.081643,79.48196,10.28631,53.51121,U
1,1.732496,0,82.89681,62.65971,0.7829335,0.4053626,-0.5603768,-0.7222597,0.06892032,-0.3717495,-0.9257712,0.003089889,-0.3105377,-0.9505561,-0.2253115,-0.3720402,0.9004559,-0.3795041,-0.3829288,0.8422245,0,1,1,0,0,27.64186,66.13214,72.60487,17.93118,16.32693,7.019921,79.58111,10.65748,54.20163,U
1,1.74367,0,82.89681,62.51019,0.7677725,0.4036838,-0.5625905,-0.7214785,0.06597124,-0.3793185,-0.9229113,0.01024987,-0.3358132,-0.9418728,-0.2206395,-0.3550105,0.9084524,-0.3736573,-0.362171,0.8539394,0,1,1,0,0,27.65393,66.05652,72.34837,17.88939,16.36397,6.970816,79.55008,10.56658,54.12698,U
1,1.748964,0,82.89681,62.21884,0.7481235,0.3698072,-0.5844374,-0.7222711,0.06163568,-0.4053359,-0.9120876,0.003242649,-0.3598531,-0.9330034,-0.2462366,-0.343391,0.9063389,-0.3909376,-0.3510355,0.8508478,0,1,1,0,0,27.89422,65.78217,72.10485,18.15722,16.54048,7.053057,79.55189,10.6043,53.37199,U
1,1.753641,0,82.89681,62.75216,0.7487182,0.3802945,-0.5829778,-0.7179924,0.05721717,-0.401582,-0.9140339,-0.001909382,-0.3529329,-0.9356467,-0.2475163,-0.3360988,0.9087207,-0.3964328,-0.3510957,0.8482763,0,1,1,0,0,27.80823,65.78406,72.13471,18.21617,16.44504,7.095236,79.91639,10.6108,53.77458,U
1,1.768113,0,82.89681,63.02709,0.6963586,0.3836365,-0.5902909,-0.7101969,0.06827861,-0.3966343,-0.9154339,-0.002576384,-0.356019,-0.9344751,-0.2526847,-0.2968052,0.9209002,-0.400799,-0.3186225,0.8589761,0,1,1,0,0,27.885,65.82676,72.1077,18.14827,16.44793,7.037514,80.77805,10.22861,54.1216,U
1,1.751325,0,82.89681,63.0695,0.7203393,0.3738465,-0.5860881,-0.7188459,0.07056823,-0.3870939,-0.9193359,-0.002074914,-0.3416022,-0.9398423,-0.2510874,-0.3263626,0.9112862,-0.4011678,-0.3510226,0.8460777,0,1,1,0,0,27.94744,66.0099,72.27219,18.17634,16.60383,6.891516,80.42954,10.21522,53.93121,U
1,1.759373,0,82.89681,62.74088,0.7102045,0.3594061,-0.5754652,-0.7346203,0.05533446,-0.3843872,-0.9215121,-0.003652493,-0.3403624,-0.9402872,-0.234049,-0.3463741,0.9084305,-0.3913032,-0.3736053,0.8410118,0,1,1,0,0,28.22769,66.00671,72.24387,18.01331,16.40852,6.881258,79.83926,10.4638,53.19942,U
1,1.754608,0,82.89681,63.06171,0.7585058,0.3930209,-0.5833504,-0.7108002,0.05662245,-0.3888297,-0.9195681,-0.01600393,-0.3677005,-0.9298066,-0.2065227,-0.3451203,0.9155546,-0.3747232,-0.3702802,0.8499854,0,1,1,0,0,27.54383,65.8382,71.97741,17.95806,16.35352,6.893757,79.18956,9.99699,54.36671,U
1,1.755401,0,82.89681,62.71993,0.7467635,0.377711,-0.5977414,-0.7071348,0.06316546,-0.3981769,-0.9151313,-0.003241837,-0.3714265,-0.9284567,-0.2324256,-0.3315836,0.9143471,-0.3991444,-0.3462334,0.849003,0,1,1,0,0,27.70803,65.82174,71.9017,18.07252,16.51361,6.830523,79.35349,10.0856,54.15999,U
1,1.763134,0,82.89681,62.03089,0.7134401,0.3476711,-0.5784328,-0.7379297,0.07266551,-0.4121974,-0.9081922,0.01686851,-0.345239,-0.9383633,-0.2293776,-0.383432,0.8946317,-0.379596,-0.4220477,0.8232755,0,1,1,0,0,28.69887,65.70889,72.0215,18.20929,16.69995,6.871186,78.92737,10.88973,52.16048,U
1,1.771518,0,82.89681,61.30188,0.6502002,0.3662554,-0.5472172,-0.7526024,0.1164134,-0.4263075,-0.8970562,-0.02679702,-0.3924108,-0.9193997,-0.1037511,-0.3977475,0.9116099,-0.2390974,-0.4463525,0.8623236,0,1,1,0,0,29.05085,65.11726,71.41068,18.50891,16.70499,7.294486,78.54306,8.936626,50.97889,U
1,1.714551,0,82.89681,60.20399,0.6703802,0.330138,-0.5597964,-0.7600243,0.09557823,-0.4172342,-0.9037591,-0.03998753,-0.382118,-0.9232479,-0.116408,-0.4320888,0.8942866,-0.2603942,-0.5148488,0.8167776,0,1,1,0,0,28.99085,65.2875,71.53713,19.00893,17.2627,7.03467,78.2111,8.91508,50.49373,U
1,1.791607,0,82.89681,60.23664,0.4921266,0.3080359,-0.5677831,-0.7633717,0.09293249,-0.4348034,-0.8957173,-0.0488317,-0.3573522,-0.9326923,-0.1201107,-0.2780057,0.9530405,-0.2663943,-0.370701,0.8897273,0,1,1,0,0,29.33956,64.90887,71.8368,18.43531,16.69795,7.109154,81.42344,10.32494,49.70786,U
1,1.803626,0,82.89681,61.18721,0.5448396,0.3225248,-0.5928435,-0.7379122,0.07793967,-0.4402148,-0.8945034,-0.02310454,-0.3736987,-0.9272624,-0.1685696,-0.2872298,0.9429122,-0.336616,-0.3206286,0.8853739,0,1,1,0,0,28.9684,65.06789,71.66611,18.37617,16.52275,6.990696,80.77682,10.42087,50.98313,U
1,1.794552,0,82.89681,61.61618,0.5844391,0.3384761,-0.5895417,-0.7333993,0.08034439,-0.4158596,-0.9058729,-0.0312307,-0.3702162,-0.9284205,-0.1847568,-0.2994863,0.9360411,-0.3459508,-0.3543787,0.8687541,0,1,1,0,0,28.80281,65.3019,71.71886,18.28459,16.65586,6.814633,80.65541,9.840828,51.79713,U
1,1.796058,0,82.89681,61.28942,0.5881638,0.3418603,-0.5861433,-0.7345526,0.07972731,-0.4169151,-0.9054421,-0.0372222,-0.3766532,-0.9256063,-0.1746984,-0.2950025,0.9393902,-0.3396454,-0.3451496,0.8749359,0,1,1,0,0,28.68335,65.2055,71.66908,18.18777,16.63874,6.708999,80.52653,9.731114,51.72651,U
1,1.804226,0,82.89681,61.12069,0.5678529,0.3326725,-0.5842443,-0.7402619,0.08476732,-0.4177164,-0.9046146,-0.02482175,-0.3895586,-0.9206671,-0.1752975,-0.2997361,0.9377788,-0.3404375,-0.3485098,0.8732945,0,1,1,0,0,29.00496,65.22343,71.48309,18.22475,16.69145,6.672858,80.26165,9.53818,51.24461,U
