f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, class
0.8516834,1.613284,0,82.89681,67.02934,0.8790064,0.4265823,-0.5999274,-0.6768417,-0.02213333,-0.300401,-0.9535562,0.2844935,-0.311553,-0.9066411,-0.3736287,-0.4778113,0.7950459,-0.5105472,-0.4471285,0.7344505,0,1,1,0,0,27.9176,68.9597,70.81449,20.4641,18.16001,7.543272,77.38741,19.73379,58.32838,V
1,1.570875,0,82.89681,65.52831,0.958312,0.37473,-0.6182726,-0.690881,-0.01328888,-0.3424896,-0.9394276,0.2950174,-0.3087403,-0.9042367,-0.3798105,-0.5135471,0.769424,-0.5243481,-0.5019936,0.6877947,0,1,1,0,0,27.79758,68.48368,70.72876,20.38344,18.1108,7.409512,74.86272,20.01564,56.92934,V
1,1.573614,0,82.89681,65.55447,0.9462193,0.3735345,-0.6174974,-0.6922203,-0.02171345,-0.3417656,-0.9395344,0.2935973,-0.3093138,-0.9045029,-0.369971,-0.5181115,0.7711563,-0.51784,-0.4954756,0.6973849,0,1,1,0,0,27.8871,68.45869,70.72945,20.49062,18.09721,7.500904,75.01508,20.22817,56.85983,V
1,1.577405,0,82.89681,65.51777,0.961466,0.3782589,-0.618479,-0.6887698,-0.02770476,-0.3499245,-0.9363682,0.2977804,-0.3194383,-0.8996032,-0.3701724,-0.5216112,0.7686965,-0.5214769,-0.4921929,0.6969993,0,1,1,0,0,27.72917,68.41227,70.56704,20.51764,18.07465,7.557743,74.68262,20.55837,56.9854,V
0.2811595,1.608495,0,82.89681,64.96441,0.8114015,0.358712,-0.6181251,-0.6994619,-0.02571508,-0.3546401,-0.9346492,0.2731647,-0.3014646,-0.9135098,-0.3556021,-0.4650914,0.8107017,-0.4868184,-0.4390975,0.7551168,0,1,1,0,0,28.43972,68.32419,71.07086,20.1029,18.07826,7.476532,77.16025,19.74624,56.10833,V
0.92461,1.576759,0,82.89681,65.9239,0.8851668,0.3639574,-0.6224362,-0.6928984,-0.03662414,-0.3325739,-0.9423658,0.2797455,-0.3056074,-0.9101354,-0.3571383,-0.5083013,0.7836339,-0.492281,-0.4724714,0.7310473,0,1,1,0,0,28.14081,68.55922,70.93665,20.78256,18.393,7.667601,76.45549,20.17136,57.07115,V
1,1.579941,0,82.89681,65.22884,0.964398,0.3774446,-0.6226111,-0.685486,-0.02813394,-0.3681359,-0.9293462,0.2953267,-0.3296284,-0.8967314,-0.3652166,-0.5181346,0.7734038,-0.521215,-0.4914368,0.6977282,0,1,1,0,0,27.6385,68.16332,70.48323,20.53846,18.06266,7.510149,74.6095,20.53233,56.73423,V
1,1.583018,0,82.89681,65.57182,0.9634271,0.3811374,-0.6224337,-0.6836013,-0.02537988,-0.3554428,-0.9343535,0.2947424,-0.321974,-0.8996997,-0.372188,-0.5147167,0.7723618,-0.5243903,-0.4835872,0.7008268,0,1,1,0,0,27.65401,68.3489,70.57001,20.4463,18.01339,7.576985,74.76184,20.3892,57.12025,V
1,1.583861,0,82.89681,65.37454,0.9374883,0.3703294,-0.6252481,-0.686965,-0.02848593,-0.362535,-0.9315347,0.2899563,-0.3302285,-0.898262,-0.3645689,-0.5035773,0.783262,-0.514375,-0.4798541,0.7107449,0,1,1,0,0,27.75274,68.2086,70.5392,20.46876,18.12888,7.44533,75.12827,20.33891,56.76464,V
1,1.58389,0,82.89681,65.61705,0.991716,0.3893524,-0.6240792,-0.6774437,-0.02752522,-0.361797,-0.9318505,0.2929958,-0.3280472,-0.8980749,-0.379584,-0.5122495,0.7704002,-0.5298312,-0.4817467,0.6979963,0,1,1,0,0,27.41161,68.30382,70.52528,20.42707,18.02127,7.580493,74.57772,20.41526,57.41844,V
1,1.589041,0,82.89681,65.63151,0.9803178,0.3932381,-0.6197114,-0.6792066,-0.02621449,-0.3582564,-0.9332551,0.2951163,-0.3263178,-0.8980107,-0.3752091,-0.5096321,0.7742695,-0.5266955,-0.4804156,0.7012793,0,1,1,0,0,27.48814,68.33506,70.51871,20.33069,17.94083,7.560596,74.67793,20.43527,57.38764,V
1,1.585545,0,82.89681,65.58073,0.9857547,0.3871102,-0.6227381,-0.679958,-0.02857163,-0.3606649,-0.9322577,0.2951219,-0.3280136,-0.8973908,-0.3756196,-0.5145506,0.7708098,-0.527671,-0.4809285,0.7001935,0,1,1,0,0,27.49597,68.30103,70.4966,20.40406,17.97253,7.612117,74.47145,20.51837,57.30024,V
1,1.584368,0,82.89681,65.43324,0.9968613,0.3860965,-0.6242588,-0.6791395,-0.03298952,-0.3694521,-0.928664,0.2910094,-0.3325692,-0.897057,-0.3697942,-0.5170832,0.7719308,-0.5216418,-0.4825377,0.7035959,0,1,1,0,0,27.40148,68.1506,70.50377,20.43858,17.97338,7.647162,74.32806,20.55387,57.22896,V
1,1.589093,0,82.89681,65.36358,0.9858994,0.3703027,-0.6346124,-0.6783384,-0.05829671,-0.3940977,-0.9172178,0.2761308,-0.3428178,-0.8979019,-0.3447211,-0.4947895,0.797716,-0.4953542,-0.4698049,0.7306898,0,1,1,0,0,27.31717,67.5995,70.58567,20.29597,17.92824,7.540932,74.66428,21.02889,56.95234,V
1,1.589562,0,82.89681,66.17844,1,0.3930514,-0.6273515,-0.6722654,-0.07508813,-0.3842489,-0.920171,0.2611291,-0.3326124,-0.9061902,-0.2976252,-0.4953388,0.8161242,-0.4605273,-0.4748604,0.7499481,0,1,1,0,0,26.96835,67.37833,70.87756,19.98845,17.55517,7.533289,74.69558,21.14581,57.84232,V
1,1.508721,0,82.89681,66.59878,1,0.3834005,-0.6679792,-0.6378149,-0.08931178,-0.401238,-0.9116094,0.239857,-0.346985,-0.9066808,-0.290653,-0.5926051,0.7512257,-0.4694289,-0.5238318,0.7108002,0,1,1,0,0,26.46633,67.01469,70.93334,21.5965,18.2265,8.343954,72.39389,20.95358,58.97071,V
