f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, class
0.9260812,0.6297435,0,96.70586,81.1261,0.9915773,0.4117401,-0.5549238,-0.7228621,-0.04110232,-0.2651493,-0.9633309,0.1150795,-0.2189734,-0.9689207,0.2299662,-0.2618294,-0.9373158,-0.2221943,-0.8471428,0.4826787,0,1,1,1,0,34.23948,84.68071,92.22163,83.94065,28.33423,79.83132,17.83684,19.69159,69.99749,W
1,0.6773183,0,96.70586,80.06734,0.9332986,0.4057764,-0.594305,-0.6943681,-0.06165101,-0.3538057,-0.9332849,0.09089734,-0.2708189,-0.9583292,0.2234568,-0.3190615,-0.9210141,-0.2529182,-0.8350152,0.4886531,0,1,1,1,0,34.04397,83.64046,91.72466,83.17225,28.07818,77.94444,18.65283,20.16489,69.16278,W
1,0.6814959,0,96.70586,79.69379,0.9518763,0.4162621,-0.5895535,-0.6922084,-0.07206193,-0.3823788,-0.9211913,0.0754785,-0.2868274,-0.9550042,0.2164159,-0.3451761,-0.9132456,-0.2521416,-0.8656614,0.4324984,0,1,1,1,0,33.94516,83.36282,91.59401,82.77473,29.22437,74.63374,19.16316,20.22274,68.5184,W
1,0.6965849,0,96.70586,79.41488,0.9081869,0.3914557,-0.5850537,-0.7102638,-0.0879935,-0.3483599,-0.9332216,0.0740255,-0.2781692,-0.9576753,0.2224495,-0.3537256,-0.9085122,-0.2581647,-0.840831,0.475767,0,1,1,1,0,34.32821,83.72612,91.71989,82.73295,28.21866,76.75772,19.58343,20.37313,68.40402,W
1,0.7323319,0,96.70586,78.13821,0.8093236,0.3920064,-0.5752423,-0.7179327,-0.08552557,-0.3785058,-0.9216391,0.06770167,-0.2858889,-0.9558682,0.2216107,-0.336793,-0.915128,-0.2602126,-0.7827749,0.5652902,0,1,1,1,0,34.84026,83.29999,91.60754,83.03619,26.35546,79.15908,19.47668,20.49495,66.3202,W
1,0.7695882,0,96.70586,78.473,0.8052388,0.3999044,-0.5740219,-0.7145455,-0.09058682,-0.3717137,-0.9239172,0.07098009,-0.2949706,-0.9528663,0.2207028,-0.3609434,-0.906096,-0.2869593,-0.7349882,0.614367,0,1,1,1,0,34.59805,83.41218,91.54636,82.62241,25.24344,80.8365,19.59681,20.53426,66.92521,W
1,0.7548968,0,96.70586,78.59851,0.7841931,0.3869424,-0.5843814,-0.7132839,-0.08693248,-0.3672142,-0.9260651,0.0739311,-0.2903013,-0.9540751,0.2199155,-0.3466667,-0.911844,-0.2742529,-0.7409798,0.6129717,0,1,1,1,0,34.64578,83.37379,91.56509,82.90475,25.43586,81.34356,19.23256,20.52709,67.07303,W
1,0.7484379,0,96.70586,78.50886,0.8051576,0.3833585,-0.6022797,-0.7002109,-0.0505177,-0.3922835,-0.9184561,0.09603493,-0.3059963,-0.9471766,0.229835,-0.3431832,-0.9107147,-0.3105585,-0.7701963,0.5570916,0,1,1,1,0,34.58446,83.45404,91.31025,82.59152,26.23564,79.96394,18.86346,19.84497,67.38551,W
1,0.7751315,0,96.70586,76.68879,0.7926403,0.3610921,-0.6072568,-0.7077087,-0.04684735,-0.4034373,-0.9138073,0.08872665,-0.3466479,-0.9337894,0.2192896,-0.3819382,-0.8977947,-0.3434653,-0.7512717,0.56358,0,1,1,1,0,34.62122,83.35954,90.81517,81.8281,26.35919,80.30779,18.93289,18.85089,66.6299,W
1,0.7897753,0,96.70586,76.82767,0.7720511,0.3642447,-0.6155587,-0.6988657,-0.03677611,-0.4007586,-0.9154453,0.09083549,-0.3541176,-0.930779,0.2118195,-0.40805,-0.8880471,-0.3552212,-0.7094275,0.6087121,0,1,1,1,0,34.41402,83.34861,90.73098,81.50947,25.72593,81.69006,18.75026,18.43185,67.22298,W
1,0.7896835,0,96.70586,76.67379,0.7669539,0.3693434,-0.6134721,-0.6980239,-0.02868909,-0.4029832,-0.9147575,0.1004274,-0.3547911,-0.9295363,0.2185907,-0.4036848,-0.8884013,-0.3450643,-0.7186048,0.6037695,0,1,1,1,0,34.36523,83.30718,90.6665,81.52293,25.71105,81.46098,18.56178,18.47963,67.16112,W
1,0.7773445,0,96.70586,76.52573,0.8045067,0.3674702,-0.6138015,-0.6987227,-0.03305111,-0.4091344,-0.9118754,0.09745457,-0.3551747,-0.9297062,0.2180259,-0.4073766,-0.8868534,-0.3469408,-0.7385888,0.57803,0,1,1,1,0,34.32715,83.28194,90.67423,81.42039,26.2298,80.46976,18.7632,18.59717,66.97052,W
1,0.7854457,0,96.70586,76.48123,0.7777362,0.3613568,-0.6162571,-0.6997488,-0.03154751,-0.4171059,-0.9083102,0.09529142,-0.3567334,-0.9293336,0.2152753,-0.4048259,-0.8886914,-0.3514602,-0.725534,0.5916722,0,1,1,1,0,34.49563,83.15448,90.65876,81.48751,26.02543,81.05064,18.66059,18.58551,66.60519,W
1,0.8044099,0,96.70586,76.64146,0.7375511,0.370822,-0.6149433,-0.6959424,-0.02412226,-0.4366995,-0.899284,0.09523232,-0.3533169,-0.9306438,0.2162394,-0.4032018,-0.8891956,-0.3508693,-0.7022859,0.6194233,0,1,1,1,0,34.65087,82.79154,90.68192,81.54632,25.46853,81.53431,18.64423,18.77972,65.88105,W
1,0.7854558,0,96.70586,77.18497,0.8033072,0.3884843,-0.6117706,-0.6890694,-0.02910681,-0.4447321,-0.8951906,0.09017392,-0.3495017,-0.9325863,0.2119108,-0.40888,-0.8876435,-0.3329616,-0.7191491,0.6098862,0,1,1,1,0,34.25726,82.55339,90.75992,81.61874,25.85925,80.27545,18.69487,19.10245,66.15906,W
1,0.787436,0,96.70586,76.96529,0.7995656,0.3755914,-0.6181219,-0.6905479,-0.03203547,-0.4456877,-0.8946152,0.08835804,-0.3578855,-0.9295756,0.2084683,-0.4108521,-0.887548,-0.3440482,-0.7208679,0.601648,0,1,1,1,0,34.34716,82.56591,90.65524,81.56593,25.98453,80.35209,18.61545,18.98336,66.07667,W
1,0.7864602,0,96.70586,77.04403,0.8103598,0.3812577,-0.6161565,-0.689198,-0.02798465,-0.4502746,-0.8924515,0.09088568,-0.3659635,-0.9261806,0.2101649,-0.4104159,-0.8873497,-0.3324299,-0.7285671,0.5988993,0,1,1,1,0,34.30728,82.44303,90.52609,81.60596,26.16015,80.40605,18.45565,18.91958,65.99055,W
1,0.7922622,0,96.70586,76.96919,0.79945,0.3744486,-0.6195108,-0.6899236,-0.03076695,-0.4506437,-0.8921735,0.08848932,-0.365929,-0.9264262,0.2071959,-0.4128775,-0.8869058,-0.3422139,-0.7191522,0.6047395,0,1,1,1,0,34.34041,82.44615,90.52338,81.55983,26.01218,80.59183,18.47748,18.90686,65.92022,W
1,0.7896093,0,96.70586,76.82679,0.8038083,0.3726588,-0.6202465,-0.6902316,-0.02919646,-0.4545838,-0.8902253,0.09142695,-0.3700534,-0.9245006,0.2095839,-0.4156606,-0.8850428,-0.3372152,-0.7260206,0.5993163,0,1,1,1,0,34.32346,82.36547,90.44811,81.51011,26.15971,80.33906,18.44544,18.96828,65.78083,W
1,0.7877906,0,96.70586,76.60835,0.8069472,0.3690874,-0.6228885,-0.6897713,-0.03103928,-0.4580455,-0.8883867,0.09171414,-0.3750705,-0.9224482,0.2107623,-0.419445,-0.8829751,-0.3407608,-0.7299969,0.5924412,0,1,1,1,0,34.31179,82.33615,90.37263,81.40944,26.30048,80.0655,18.51382,19.00423,65.66801,W
1,0.7990589,0,96.70586,76.67538,0.78331,0.3727203,-0.6186911,-0.6915929,-0.02869728,-0.4544081,-0.8903313,0.09269764,-0.3707173,-0.9241081,0.2125054,-0.4135406,-0.8853393,-0.3414608,-0.7170318,0.6076758,0,1,1,1,0,34.44474,82.42587,90.41282,81.4174,25.96545,80.73219,18.52293,18.91706,65.70013,W
1,0.8030047,0,96.70586,76.55202,0.7720023,0.3632562,-0.626617,-0.6894898,-0.02836269,-0.4623335,-0.8862524,0.09239467,-0.3829642,-0.9191309,0.2102477,-0.4246705,-0.8805968,-0.3464403,-0.7049049,0.6189412,0,1,1,1,0,34.40078,82.25768,90.23312,81.30305,25.88646,80.94016,18.43086,18.85886,65.57966,W
1,0.7875982,0,96.70586,76.6065,0.838752,0.3860735,-0.6166369,-0.6860803,-0.02344696,-0.462385,-0.8863692,0.09611066,-0.3750222,-0.9220202,0.2153344,-0.4196247,-0.8817858,-0.3297084,-0.7435925,0.5816894,0,1,1,1,0,34.00066,82.2637,90.31788,81.30256,26.47521,79.43769,18.5218,18.94105,66.11394,W
1,0.8096227,0,96.70586,76.69572,0.7738462,0.3749295,-0.6243529,-0.6852819,-0.02303387,-0.4635125,-0.8857909,0.09539594,-0.3818883,-0.9192719,0.2124916,-0.4227041,-0.8810042,-0.349142,-0.6969349,0.6264036,0,1,1,1,0,34.28843,82.24746,90.22507,81.27965,25.66941,81.15814,18.39534,18.79152,65.82035,W
1,0.8120074,0,96.70586,76.53724,0.7636107,0.3722492,-0.6249636,-0.6861858,-0.01997869,-0.4662143,-0.8844463,0.09765039,-0.3823183,-0.9188564,0.2138441,-0.4234529,-0.8803172,-0.3479029,-0.6980556,0.625845,0,1,1,1,0,34.32866,82.19236,90.1991,81.25412,25.63375,81.10941,18.35572,18.80289,65.65589,W
1,0.8268203,0,96.70586,75.64011,0.6949684,0.3433464,-0.6183318,-0.7069505,-0.01323869,-0.453431,-0.8911931,0.09863885,-0.3805708,-0.9194761,0.2109443,-0.4075242,-0.8884968,-0.3479674,-0.7005697,0.6229933,0,1,1,1,0,35.00597,82.46842,90.20889,81.44312,25.39999,81.44523,18.04925,18.28438,64.68647,W
1,0.817276,0,96.70586,75.85582,0.7358432,0.3489307,-0.6215134,-0.7014046,-0.01938357,-0.4604377,-0.8874804,0.0948047,-0.3829904,-0.9188745,0.2075047,-0.4132066,-0.8866804,-0.3488631,-0.708385,0.613584,0,1,1,1,0,34.8077,82.33938,90.19196,81.39745,25.73096,81.06506,18.10191,18.49028,64.81565,W
1,0.8076878,0,96.70586,76.1103,0.7696128,0.3552381,-0.6225958,-0.6972664,-0.02419073,-0.4588335,-0.8881929,0.0919556,-0.3825466,-0.9193489,0.2056102,-0.4153052,-0.8861411,-0.3517294,-0.7185802,0.5999407,0,1,1,1,0,34.59766,82.38426,90.22848,81.3866,25.97627,80.51186,18.18638,18.54086,65.2373,W
1,0.8114714,0,96.70586,75.94904,0.7550371,0.3486218,-0.6231897,-0.7000695,-0.02678076,-0.4595966,-0.8877239,0.0915592,-0.3860972,-0.9179029,0.2055769,-0.4197294,-0.8840619,-0.3510163,-0.7138003,0.6060336,0,1,1,1,0,34.70579,82.36503,90.16843,81.31308,25.91714,80.63209,18.21357,18.57568,65.00597,W
1,0.8080145,0,96.70586,76.07795,0.7608701,0.3543484,-0.6216791,-0.698536,-0.02469488,-0.4598615,-0.8876472,0.09344805,-0.3845831,-0.9183482,0.2073824,-0.4188684,-0.8840485,-0.3445097,-0.717954,0.6048595,0,1,1,1,0,34.67589,82.33241,90.19112,81.34953,25.98273,80.63412,18.19705,18.63159,65.04205,W
1,0.802431,0,96.70586,76.16019,0.7763245,0.3565958,-0.6239811,-0.6953323,-0.02669943,-0.4605646,-0.8872246,0.09374109,-0.3845923,-0.9183144,0.2076614,-0.4186184,-0.8841015,-0.3482745,-0.7220073,0.5978381,0,1,1,1,0,34.56311,82.332,90.19324,81.34943,26.1147,80.41759,18.21184,18.72076,65.20143,W
