@RELATION train

@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE f17 REAL
@ATTRIBUTE f18 REAL
@ATTRIBUTE f19 REAL
@ATTRIBUTE f20 REAL
@ATTRIBUTE f21 REAL
@ATTRIBUTE f22 REAL
@ATTRIBUTE f23 REAL
@ATTRIBUTE f24 REAL
@ATTRIBUTE f25 REAL
@ATTRIBUTE f26 REAL
@ATTRIBUTE f27 REAL
@ATTRIBUTE f28 REAL
@ATTRIBUTE f29 REAL
@ATTRIBUTE f30 REAL
@ATTRIBUTE f31 REAL
@ATTRIBUTE f32 REAL
@ATTRIBUTE f33 REAL
@ATTRIBUTE f34 REAL
@ATTRIBUTE f35 REAL
@ATTRIBUTE class {A,B,C,D,E,F,I,L,R,U,V,W,X,Y}

@DATA
0.9553395,3.141593,1,82.67517,37.50443,0,-0.5139295,-0.3269124,-0.7930982,0.07911179,-0.2353905,0.9686757,-0.105092,-0.02039052,0.9942535,-0.275691,-0.009312519,0.9612012,-0.5213198,-0.4896573,0.6989001,1,0,0,0,0,38.16491,18.42439,18.03308,18.20374,17.08847,11.22617,6.063074,8.035666,32.2361,Y
1,2.812379,0,82.67517,36.62806,0,-0.4614622,-0.1725952,-0.8702089,-0.09961065,-0.09837792,0.9901513,-0.1341743,0.008537397,0.990921,-0.2935661,0.021109,0.9557057,0.166468,-0.7389902,-0.6528261,1,0,0,0,1,37.41498,18.42981,18.50054,18.61571,44.31863,53.81121,6.008448,7.975871,34.47431,Y
1,2.882757,0.06204316,82.67517,34.74219,0,-0.502158,-0.07166573,-0.8618012,-0.08496148,-0.1391515,0.9866197,-0.1326229,-0.04229761,0.9902636,-0.2937658,-0.0322928,0.9553318,-0.02031078,-0.7673483,-0.6409087,1,0,0,0,1,37.88842,17.99037,17.76867,18.25241,43.38229,52.46898,6.015514,7.044258,34.91441,Y
1,2.84349,0.009030687,82.67517,33.87123,0,-0.4783585,-0.1607555,-0.8633254,-0.07775512,-0.05310319,0.9955572,-0.1264608,0.01161083,0.9919036,-0.2898445,0.003601593,0.957067,0.147722,-0.739598,-0.6566376,1,0,0,0,1,37.52203,17.92856,17.93089,18.42738,44.32219,53.55189,5.935637,6.92273,34.88552,Y
1,2.856289,0.02172573,82.67517,33.87318,0,-0.486064,-0.1443836,-0.8619136,-0.06748054,-0.08702622,0.9939179,-0.1308074,-0.01040734,0.9913532,-0.2936988,-0.01381749,0.9557981,0.1098226,-0.754023,-0.6476019,1,0,0,0,1,37.69513,17.78218,17.77404,18.25961,44.00222,52.91874,5.972012,6.839214,34.74379,Y
1,2.820011,0.008913256,82.67517,34.73015,0,-0.4910198,-0.184436,-0.8514006,-0.09782651,-0.1002828,0.9901381,-0.1514148,0.0004766393,0.9884702,-0.314165,-0.00453441,0.9493576,0.1672549,-0.7398555,-0.6516438,1,0,0,0,1,38.10511,18.09323,18.07863,18.52704,44.07411,53.17442,5.962165,7.501834,34.25782,Y
1,2.810243,0.01282078,82.67517,34.79119,0,-0.4781723,-0.2121962,-0.8522465,-0.1169379,-0.1067269,0.9873879,-0.1683613,0.01089496,0.9856651,-0.3301771,0.007817129,0.9438866,0.1780485,-0.7587828,-0.626536,1,0,0,0,1,38.24471,18.45055,18.31283,18.75952,43.36499,52.40379,6.008502,7.607216,34.40183,Y
1,2.815104,0.03707294,82.67517,34.4976,0,-0.4669263,-0.1927103,-0.8630427,-0.1327044,-0.1097282,0.9850631,-0.1784151,0.008729639,0.9839166,-0.3393086,0.009401478,0.9406281,0.1573163,-0.7616764,-0.6285703,1,0,0,0,1,38.41114,18.40759,18.14884,18.70002,43.19564,52.23653,6.071126,7.576589,34.73823,Y
1,2.823329,0.03657777,82.67517,32.54375,0,-0.4802545,-0.1659737,-0.8612829,-0.1636025,-0.0952388,0.9819184,-0.1902439,0.003136298,0.9817318,-0.3510837,0.009078218,0.9363001,0.1284989,-0.7448298,-0.6547645,1,0,0,0,1,38.80608,18.10796,17.71628,18.32547,43.51705,52.31549,6.106236,7.441209,34.38422,Y
1,2.806269,0.00741212,82.67517,34.43452,0,-0.470679,-0.1798703,-0.8637754,-0.1122489,-0.09637254,0.9889957,-0.2085332,0.001887638,0.9780135,-0.370324,0.0009359506,0.9289022,0.1521851,-0.7582986,-0.633895,1,0,0,0,1,39.02849,17.84124,18.04067,18.68563,43.10036,51.89917,6.097054,6.798788,35.41775,Y
0.6015813,2.891095,0.2058922,82.67517,36.23492,0,-0.4290393,-0.01310107,-0.9031909,0.006499995,-0.2202441,0.9754231,-0.1285617,-0.07288919,0.9890192,-0.2877263,-0.03611866,0.9570313,-0.1067659,-0.7048821,-0.7012435,1,0,0,0,1,37.53129,17.06118,17.31206,17.59361,43.87627,52.8614,6.055324,6.897756,35.29603,Y
0.9632468,2.8669,0.1746008,82.67517,32.04392,0.05343511,-0.452458,-0.07152525,-0.8889128,-0.1086228,-0.193453,0.9750779,-0.1291052,-0.09163497,0.9873879,-0.2846779,-0.05396061,0.9571033,-0.1017898,-0.7269755,-0.6790769,1,0,0,0,1,37.27268,18.11367,17.64132,17.92549,43.96008,52.6674,6.156385,7.382817,33.55246,Y
1,2.873164,0.1693169,82.67517,32.69095,0.001248432,-0.4617289,-0.131624,-0.877201,-0.08759157,-0.1367699,0.9867226,-0.1460942,-0.02122174,0.989043,-0.3035744,-0.00156305,0.9528065,0.01885471,-0.7802423,-0.6251931,1,0,0,0,1,37.92006,17.80759,17.49015,18.06533,42.92054,51.57551,6.176113,7.262022,34.38394,Y
1,2.843053,0.1508233,82.67517,32.76202,0.02908487,-0.4472,-0.1923254,-0.873512,-0.1226651,-0.1564957,0.9800318,-0.1635007,-0.002704211,0.9865395,-0.3232063,0.006031681,0.9463093,0.1224414,-0.7423689,-0.6587083,1,0,0,0,1,38.04933,18.45679,17.86767,18.48931,43.07995,52.09258,6.094656,7.895811,34.01017,Y
1,2.847533,0.1222994,82.67517,33.40408,0.01490776,-0.4395742,-0.1747885,-0.8810355,-0.07450667,-0.1402874,0.9873036,-0.1579121,-0.01106401,0.9873912,-0.3160687,0.006738968,0.9487124,0.06045409,-0.7721061,-0.6326116,1,0,0,0,1,37.83142,17.98673,17.84055,18.39682,42.97401,51.85593,6.174945,7.169664,34.55566,Y
1,2.855831,0.1345595,82.67517,34.12944,0.01026244,-0.4365455,-0.155949,-0.8860632,-0.03243155,-0.1803128,0.9830745,-0.1427594,-0.03399152,0.9891735,-0.2988212,-0.007515796,0.9542795,0.02221937,-0.7739533,-0.6328527,1,0,0,0,1,37.58237,17.79855,17.66512,18.1674,43.21944,52.08989,6.255632,7.118002,34.40973,Y
