@RELATION train

@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE f17 REAL
@ATTRIBUTE f18 REAL
@ATTRIBUTE f19 REAL
@ATTRIBUTE f20 REAL
@ATTRIBUTE f21 REAL
@ATTRIBUTE f22 REAL
@ATTRIBUTE f23 REAL
@ATTRIBUTE f24 REAL
@ATTRIBUTE f25 REAL
@ATTRIBUTE f26 REAL
@ATTRIBUTE f27 REAL
@ATTRIBUTE f28 REAL
@ATTRIBUTE f29 REAL
@ATTRIBUTE f30 REAL
@ATTRIBUTE f31 REAL
@ATTRIBUTE f32 REAL
@ATTRIBUTE f33 REAL
@ATTRIBUTE f34 REAL
@ATTRIBUTE f35 REAL
@ATTRIBUTE class {A,B,R,U,V,W}

@DATA
0.9395197,3.141593,1,86.4614,30.53425,0.5687015,0.03052574,0.01915919,-0.9993503,0.5297299,0.5816208,0.6173358,0.4296165,0.6572914,0.6191912,0.3224829,0.7586392,0.566102,0.2448137,0.8431147,0.4787732,1,0,0,0,0,44.91759,23.68819,21.99096,19.1045,17.5637,7.494517,8.165876,5.890374,26.62264,A
1,2.655458,1,86.4614,34.01079,0.6326774,-0.07744142,0.1109101,-0.9908086,0.6064156,0.7741976,0.1813237,0.4568028,0.874548,0.1627792,0.3434887,0.9315976,0.1189184,0.1821959,0.9830734,-0.01927263,1,0,0,0,0,44.59306,35.62539,36.06738,31.34004,25.98825,8.809907,8.730836,4.49294,17.77194,A
1,2.524521,0.9840705,86.4614,27.36243,0.8081381,-0.08754077,0.04000491,-0.9953574,0.5535333,0.8328141,-0.004642151,0.3962922,0.9181233,0.001454167,0.2888301,0.9536903,-0.0839762,0.116099,0.9651502,-0.2345339,1,0,0,0,0,44.45383,39.06194,39.94948,36.11547,30.49663,8.972325,8.211112,4.356608,14.06842,A
1,2.581736,1,86.4614,31.05696,0.7375809,-0.11065,0.05877921,-0.9921198,0.5513105,0.8334807,0.03696665,0.397737,0.9171881,0.02390225,0.2914742,0.9543232,-0.06565191,0.1273804,0.962865,-0.2380446,1,0,0,0,0,44.74934,38.00414,38.98516,35.37904,29.89051,9.120583,8.147407,4.52412,15.23378,A
1,2.574827,0.9773633,86.4614,25.51337,0.84104,-0.06185653,0.04849305,-0.9969063,0.5666888,0.821101,0.06824265,0.4164055,0.9076164,0.05328058,0.3036053,0.9517915,-0.04377983,0.1317746,0.9721503,-0.1938017,0,0,0,0,0,44.48252,37.30271,38.36147,35.00812,29.5064,8.793946,7.831642,4.47763,14.50483,A
1,2.53151,0.9678,86.4614,18.34041,0.9688175,-0.001986233,0.03526879,-0.9993759,0.5425869,0.8363472,0.07824777,0.3816477,0.9218056,0.06796675,0.2659231,0.963026,-0.04319564,0.08649181,0.9811388,-0.1728751,0,0,0,0,0,44.38042,37.05964,38.25487,35.2874,29.64797,8.490249,7.361367,4.338539,13.81687,A
1,2.439959,0.8351647,86.4614,26.04423,0.8713259,-0.09481124,0.1044934,-0.989996,0.5813413,0.8126246,-0.04103215,0.4191526,0.9070259,-0.04018924,0.3158033,0.937398,-0.1468106,0.1410285,0.9486182,-0.283257,0,0,0,0,0,44.93872,39.98283,41.25261,38.36481,32.29344,9.30648,7.821259,4.492229,12.82127,A
1,2.531039,1,86.4614,29.40915,0.724199,-0.2180165,0.0958187,-0.9712299,0.5871012,0.8092138,0.02203004,0.4227102,0.9055848,0.03510391,0.3072416,0.9509481,-0.0360591,0.1206776,0.9767502,-0.1771892,1,0,0,0,0,43.36391,37.80199,39.00257,36.11422,30.83747,8.77433,7.565832,4.45771,15.44577,A
1,2.428397,1,86.4614,12.04119,1,0.02923719,0.02115145,-0.9993487,0.6841623,0.7250618,-0.07878676,0.5033293,0.8621719,-0.05761233,0.3926637,0.913622,-0.1054039,0.1902597,0.9735147,-0.1267695,0,0,0,0,0,46.04902,40.54803,41.39882,37.99969,28.90295,11.10906,7.598576,4.27264,10.13569,A
1,2.171875,0.8182678,86.4614,13.46785,1,-0.02174176,0.03769281,-0.9990528,0.6166098,0.7468063,-0.249144,0.4540316,0.8476883,-0.2743717,0.3633856,0.844119,-0.3942259,0.1966651,0.8753392,-0.4417058,0,0,0,0,0,45.86063,45.42343,48.1931,45.58422,36.37062,11.65133,7.949121,5.272714,6.856389,A
